omega = 1.00	omega = 0.96	omega = 0.92	omega = 0.88
1.45428713653776	NaN	NaN	0.334693274292404
1.48802124474472	2.36550285989356	NaN	0.427425215165799
5.72184105160382	NaN	1.69544818039018	NaN
4.43257282467934	2.55136993544080	0.707633382981754	NaN
5.64201377087663	0.143736308586584	0.534459166287892	0.0534132913908596
2.03901137526707	NaN	NaN	2.32426249283581
0.518203707974711	NaN	0.234312532433334	0.207463807356973
0.921202941752180	NaN	1.43160134625218	NaN
2.17097631754176	0.131657300596148	NaN	NaN
0.894215485209787	2.63801208513421	0.625554499143891	NaN
0.00771358733087048	NaN	0.842702592269270	NaN
1.96494811806074	4.52577090950826	2.52237529660252	2.62093196590816
NaN	0.0113878128733569	NaN	NaN
NaN	0.685193418379544	NaN	0.231365204659324
NaN	2.61922554196861	NaN	0.704276873046941
0.281526937411666	3.59732719049404	NaN	NaN
4.48812575360247	2.01326221822407	1.54479116072423	0.447831291091963
NaN	NaN	1.15228670772819	NaN
7.06331863364522	1.94390009830751	NaN	NaN
4.04808302519845	NaN	1.41565413818897	0.149220136154520
2.02423910959421	3.00475999401202	NaN	NaN
2.11850850082284	2.65044569823695	NaN	NaN
4.88003759405971	NaN	NaN	NaN
2.13522615612266	0.914782065552319	NaN	0.446325269474639
4.87447315276896	0.845944404169819	2.24106131939795	NaN
5.58161433378993	1.58490425204428	0.130032210615923	NaN
1.33188571412239	0.139350712813768	NaN	1.17386762538983
2.34163734131528	0.606223571573462	NaN	0.804627072354735
NaN	2.71184148137553	0.406218072094350	0.285410001070838
NaN	0.358353330220194	1.15416532536225	NaN
NaN	1.30790788879065	NaN	1.33472903793837
2.47655377584247	0.312197732799135	NaN	NaN
0.0303003399507497	5.02427398376067	2.34710747403605	NaN
3.49292060902314	NaN	NaN	NaN
6.27360918934426	1.87233110921253	NaN	NaN
0.150959161390723	1.41193607512262	0.296645739827053	NaN
1.91675732585214	1.59781147859442	NaN	2.03283190031036
5.67958160693826	NaN	NaN	NaN
NaN	NaN	NaN	NaN
NaN	1.70578383396070	0.686861028807273	NaN
3.14013832155757	2.07022311996857	0.812476087715371	NaN
1.33270114912885	1.01081050031721	0.366087932390193	0.527240468723415
2.79798260309178	NaN	NaN	0.818418525626509
0.551176700788435	1.21455247483283	0.174727597157130	NaN
1.42550382455836	NaN	0.388037821086899	NaN
NaN	1.96344589749555	4.10538036240198	0.138215810151443
2.30403794698918	NaN	0.126942174861747	1.59703332132140
0.831367998495462	2.03504288130569	NaN	0.552042454960762
4.77949451330596	1.88459827376595	0.729615106538068	NaN
2.89132277724851	2.87337937009090	1.67248485790149	NaN
3.73080279179584	NaN	0.936309021509254	2.34429815127682
1.43435882013128	1.57962880024696	NaN	0.600644763502782
NaN	NaN	NaN	NaN
0.975813617124099	NaN	0.799103275599312	NaN
0.913610569496699	NaN	0.186172059103775	0.162782981752118
2.60109111666970	NaN	NaN	NaN
4.04307374296212	1.75516906698793	NaN	NaN
0.249109542597881	1.35221468111211	NaN	NaN
0.941485684412736	2.38414151313913	NaN	0.156611374944268
0.457520960339237	NaN	0.00705897731847037	NaN
2.37447990990933	0.405430512295271	NaN	NaN
1.24177844723245	2.84103196129352	NaN	0.426987123608673
0.210792223176093	NaN	NaN	0.910552568018716
3.05747293437008	NaN	NaN	NaN
6.29501242493422	1.74815663988235	0.00833215956720030	NaN
2.83916833194225	2.84191440264484	NaN	NaN
9.54161046414587	0.627550483509419	3.13004114975241	0.169285357735327
1.91488040587928	NaN	2.48440527578919	NaN
7.25291793236056	0.115072723969522	0.0645310924860184	NaN
1.24583256783598	1.07579106855930	NaN	NaN
9.44947636013012	0.949520463367796	NaN	0.246100325000329
0.200578167741735	NaN	NaN	1.07710120373927
8.78120132394766	1.77452207345228	1.61939895007606	1.76724698955972
4.71289695016782	1.16936299564651	NaN	0.926252684154628
