theta0 = 0
tau_c	omega = 1.0	omega = 0.9	omega = 0.8
8.80000000000000	0.834900000000000	0.421900000000000	0.286400000000000
8.90000000000000	0.830700000000000	0.411600000000000	0.280100000000000
9	0.842200000000000	0.418100000000000	0.290400000000000
9.10000000000000	0.847300000000000	0.406800000000000	0.280200000000000
9.20000000000000	0.840900000000000	0.421600000000000	0.281600000000000
9.30000000000000	0.847900000000000	0.415600000000000	0.284000000000000
9.40000000000000	0.839400000000000	0.416800000000000	0.283600000000000
9.50000000000000	0.852200000000000	0.420100000000000	0.285500000000000
9.60000000000000	0.843300000000000	0.411100000000000	0.287100000000000
9.70000000000000	0.846900000000000	0.414000000000000	0.283300000000000
9.80000000000000	0.844400000000000	0.409300000000000	0.284700000000000
9.90000000000000	0.856100000000000	0.410500000000000	0.288000000000000
10	0.854600000000000	0.415500000000000	0.280300000000000
